"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:04:14 PM"


65
Axial strain,Deviator stress
0.0784929,0.214808,
0.125589,0.274223,
0.141287,0.345064,
0.204082,0.420475,
0.266876,0.493601,
0.329670,0.573583,
0.408163,0.639854,
0.423862,0.710695,
0.455259,0.790676,
0.549451,0.856947,
0.612245,0.923218,
0.690738,1.00777,
0.737834,1.09232,
0.847724,1.17916,
0.926217,1.24771,
1.05181,1.32313,
1.19309,1.39854,
1.35008,1.46024,
1.42857,1.52651,
1.64835,1.58821,
1.74254,1.64077,
2.02512,1.69104,
2.37049,1.72303,
2.66876,1.72532,
2.90424,1.71161,
3.17111,1.68419,
3.62637,1.65219,
4.05024,1.62020,
4.45840,1.59049,
4.83517,1.56764,
5.18053,1.53793,
5.57300,1.52879,
5.96546,1.50823,
6.26374,1.48995,
6.76609,1.46024,
7.06436,1.44653,
7.44113,1.41453,
7.92779,1.37797,
8.28885,1.34826,
8.61852,1.31856,
8.94819,1.28885,
9.45055,1.27285,
9.82732,1.26600,
10.2198,1.25457,
10.6907,1.24543,
11.1774,1.22715,
11.6797,1.22029,
12.1664,1.21115,
12.7002,1.19744,
13.1554,1.17916,
13.5950,1.17002,
14.0188,1.15859,
14.3799,1.14945,
14.8038,1.13803,
15.3532,1.11974,
15.8556,1.10603,
16.3108,1.09918,
16.8132,1.09232,
17.2841,1.09232,
17.7551,1.09004,
18.2889,1.08318,
18.8383,1.07633,
19.2622,1.06718,
19.7488,1.05804,
19.9686,1.05576,
