"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 1:54:58 PM"


70
Axial strain,Deviator stress
0.0941915,0.205667,
0.125589,0.283364,
0.156986,0.358775,
0.204082,0.399909,
0.282575,0.466179,
0.313972,0.537020,
0.361068,0.601005,
0.408163,0.655850,
0.455259,0.708409,
0.502355,0.754113,
0.533752,0.815814,
0.565149,0.882084,
0.643642,0.946069,
0.690738,0.991773,
0.737834,1.05576,
0.847724,1.10375,
0.894819,1.14945,
1.00471,1.19973,
1.13030,1.25000,
1.25589,1.29570,
1.39717,1.34598,
1.53846,1.38940,
1.77394,1.42824,
2.04082,1.45795,
2.35479,1.48309,
2.71586,1.49680,
3.09262,1.51051,
3.45369,1.51965,
3.86185,1.53336,
4.22292,1.53793,
4.64678,1.55622,
5.14914,1.56993,
5.46311,1.58364,
5.91837,1.59735,
6.29513,1.60420,
6.65620,1.61563,
7.15856,1.63620,
7.61381,1.65219,
8.03768,1.66590,
8.36735,1.67733,
8.75981,1.68876,
9.23077,1.70247,
9.65463,1.71389,
10.1727,1.73218,
10.6122,1.74132,
10.9419,1.75046,
11.3344,1.76417,
11.8053,1.77559,
12.2606,1.78931,
12.6688,1.79845,
13.1240,1.81216,
13.5165,1.82358,
13.9560,1.83958,
14.4427,1.85101,
14.8666,1.86243,
15.2276,1.87614,
15.5887,1.88985,
15.9812,1.90585,
16.3108,1.91499,
16.6562,1.92870,
16.9545,1.94927,
17.3626,1.96298,
17.6766,1.98126,
17.9906,1.99497,
18.3359,2.00640,
18.6970,2.02239,
19.0581,2.04068,
19.4662,2.05667,
19.8587,2.07724,
19.9686,2.08410,
