"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 1:50:30 PM"


67
Axial strain,Deviator stress
0.0313972,0.118830,
0.0627944,0.203382,
0.0941915,0.260512,
0.156986,0.326782,
0.219780,0.381627,
0.282575,0.477605,
0.329670,0.523309,
0.423862,0.571298,
0.627943,0.639854,
0.784929,0.690128,
1.09890,0.740402,
1.41287,0.781536,
1.82104,0.811243,
2.13501,0.831810,
2.46468,0.854662,
2.93564,0.884369,
3.29670,0.904936,
3.70487,0.930073,
4.11303,0.959781,
4.52119,0.984918,
4.92936,1.00091,
5.33752,1.01920,
5.72998,1.03062,
6.05965,1.04433,
6.45212,1.05347,
6.87598,1.06947,
7.22135,1.07633,
7.55102,1.10375,
7.83359,1.12431,
8.08477,1.15174,
8.39874,1.18144,
8.74411,1.20887,
9.08948,1.24086,
9.37206,1.26371,
9.62323,1.28885,
9.95290,1.31856,
10.2198,1.34369,
10.5808,1.37569,
10.9733,1.41682,
11.2873,1.44881,
11.6484,1.47852,
12.0408,1.50823,
12.4490,1.56079,
12.9199,1.59735,
13.2967,1.64762,
13.6892,1.67962,
13.9874,1.71161,
14.3799,1.75503,
14.7724,1.79616,
15.1020,1.83044,
15.3846,1.86472,
15.6829,1.90128,
16.0440,1.93784,
16.3265,1.97212,
16.6091,2.00640,
16.9859,2.04068,
17.2998,2.07038,
17.5353,2.10238,
17.8336,2.13665,
18.1633,2.16636,
18.4615,2.19607,
18.7755,2.23492,
19.0267,2.26234,
19.3093,2.29433,
19.5133,2.31947,
19.7331,2.34461,
19.9843,2.36746,
