"Deviator stress(Axial strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:02:19 PM"


67
Axial strain,Deviator stress
0.0470958,0.191956,
0.0784929,0.249086,
0.125589,0.308501,
0.188383,0.372486,
0.235479,0.443327,
0.266876,0.493601,
0.329670,0.555302,
0.376766,0.626143,
0.408163,0.687843,
0.470958,0.738117,
0.502355,0.824954,
0.565149,0.886654,
0.627943,0.948355,
0.706436,1.01920,
0.816327,1.10146,
0.847724,1.16088,
0.910518,1.20658,
1.02041,1.27971,
1.09890,1.33912,
1.20879,1.38940,
1.31868,1.46252,
1.42857,1.52194,
1.55416,1.57221,
1.69545,1.62020,
1.86813,1.65448,
2.08791,1.69104,
2.37049,1.71846,
2.74725,1.72989,
2.99843,1.74132,
3.34380,1.74132,
3.76766,1.75274,
4.09733,1.76188,
4.69388,1.76645,
5.11774,1.76645,
5.58870,1.78016,
6.01256,1.77788,
6.57771,1.78473,
7.00157,1.78702,
7.42543,1.79388,
7.92779,1.79845,
8.35165,1.80302,
8.79121,1.81673,
9.30926,1.81673,
9.81162,1.82130,
10.2669,1.83044,
10.8320,1.83958,
11.3344,1.84415,
11.8053,1.85329,
12.2449,1.86015,
12.7473,1.86243,
13.2339,1.87386,
13.7049,1.87843,
14.1601,1.88985,
14.5055,1.89899,
14.9137,1.90814,
15.3218,1.91499,
15.6044,1.92642,
16.0126,1.93556,
16.4678,1.94470,
17.0016,1.95155,
17.5353,1.97212,
17.9906,1.97898,
18.4615,1.99269,
18.9168,1.99954,
19.2779,2.00640,
19.6232,2.01097,
19.9215,2.01554,
