"Volumetric strain(Mean effective stress), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:41:41 PM"


13
Mean effective stress,Volumetric strain
1.48615,0.0820616,
1.87450,-1.33422,
1.92402,-2.93062,
1.95254,-4.45794,
1.97504,-5.88120,
2.00430,-7.33908,
2.05722,-8.79659,
2.06409,-10.0812,
2.11515,-11.4346,
2.14646,-12.7189,
2.21028,-14.0374,
2.24299,-15.2869,
2.27617,-16.3976,
