"Volumetric strain(Mean effective stress), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:38:20 PM"


13
Mean effective stress,Volumetric strain
1.12265,0.0173010,
1.51696,-1.25433,
1.57391,-2.31401,
1.56428,-3.40398,
1.57391,-4.40311,
1.57714,-5.37197,
1.58686,-6.34083,
1.59011,-7.21886,
1.59337,-8.21799,
1.59011,-9.09602,
1.61638,-10.0043,
1.62301,-10.8521,
1.62301,-11.6090,
