"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:32:04 PM"


25
Axial Strain,Deviator stress
0.0295421,0.0779896,
0.856721,0.710572,
1.62482,0.775563,
2.45199,0.831889,
3.24963,0.892548,
4.07681,0.974870,
4.87445,0.983536,
5.67208,1.05286,
6.52880,1.03986,
7.35598,1.10919,
8.18316,1.14385,
9.01034,1.21750,
9.80798,1.28683,
10.6352,1.40815,
11.4919,1.43847,
12.2895,1.51646,
13.0871,1.63345,
13.9439,1.68977,
14.7120,1.79376,
15.5391,1.85875,
16.3368,1.99740,
17.1640,2.07539,
17.9321,2.16205,
18.7888,2.21404,
19.5864,2.32236,
