"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:28:47 PM"


23
Axial Strain,Deviator stress
-0.0290168,0.0560409,
0.780171,1.07742,
2.41329,1.65897,
4.01084,1.65000,
4.86913,1.67999,
5.60829,1.63242,
6.49564,1.61067,
7.32413,1.61911,
8.15244,1.61032,
8.98076,1.60152,
9.80955,1.64013,
10.6671,1.60115,
11.4662,1.62684,
12.2943,1.59218,
13.1228,1.60062,
13.9807,1.60044,
14.7499,1.59165,
15.5784,1.60440,
16.4072,1.64302,
17.2056,1.59974,
18.0046,1.62112,
18.8032,1.59940,
19.6315,1.59060,
