"Volumetric strain(Mean effective stress), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:37:41 PM"


13
Mean effective stress,Volumetric strain
0.879870,0.108131,
1.32519,-1.22405,
1.37495,-2.07180,
1.34708,-2.79844,
1.35538,-3.58564,
1.34158,-4.25173,
1.33336,-4.91782,
1.34158,-5.55363,
1.33883,-6.18945,
1.34708,-6.79498,
1.34158,-7.52163,
1.34158,-8.00606,
1.33609,-8.58132,
