"Deviator stress(Axial Strain), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:34:01 PM"


25
Axial Strain,Deviator stress
-7.10543e-15,0.0259965,
0.827179,0.896880,
1.59527,1.15251,
2.45199,1.22184,
3.27917,1.29549,
4.04727,1.35182,
4.87445,1.40815,
5.67208,1.42114,
6.52880,1.45147,
7.35598,1.53813,
8.15362,1.54246,
9.01034,1.62045,
9.80798,1.68544,
10.6647,1.69411,
11.4919,1.72877,
12.2600,1.82409,
13.0871,1.88042,
13.8552,1.92808,
14.6529,1.97574,
15.5096,2.00173,
16.2777,2.13172,
17.1344,2.13605,
17.9321,2.25303,
18.7592,2.29203,
19.5864,2.35269,
