"Volumetric strain(Mean effective stress), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:36:53 PM"


12
Mean effective stress,Volumetric strain
0.585392,-0.0129758,
1.12036,-1.16349,
1.16242,-1.76903,
1.12957,-2.10208,
1.10668,-2.43512,
1.05793,-2.64706,
1.02803,-2.79844,
1.02383,-2.98010,
1.00308,-3.07093,
0.994894,-3.28287,
0.982745,-3.37370,
0.960856,-3.58564,
