"Volumetric strain(Mean effective stress), created by Plot Digitizer, 2.6.6"
"Date: 27/01/15, 2:40:57 PM"


13
Mean effective stress,Volumetric strain
1.00838,0.104526,
1.44819,-1.16876,
1.50828,-2.41748,
1.50596,-3.66754,
1.52576,-4.84769,
1.55086,-6.06245,
1.57892,-7.27717,
1.57905,-8.42301,
1.60500,-9.49889,
1.61820,-10.6097,
1.64747,-11.6856,
1.66911,-12.7268,
1.68556,-13.7335,
